KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K03433	8.5363	8.7971	8.1656	8.3901	8.4912	7.8903	7.6619	8.1671	8.4083	9.1016	7.8885	9.0363	8.8288	8.3171	9.481	8.4138	9.0806	9.5109	6.7592	12.184	9.1339	9.1445	8.2637	8.0678
K03434	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	4.1137	3.5117	3.5696	3.5682	3.5587	4.099	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.7594	3.7068	4.7165	4.2224	3.5696	4.1794
K03435	7.2605	6.9458	7.2244	7.0226	7.303	7.4798	6.6562	7.3397	7.1753	7.1085	7.1445	6.6685	7.4362	7.7285	7.8437	7.5181	7.4239	7.5565	4.112	6.4027	7.5295	7.481	7.4219	7.1054
K03436	8.8269	8.2954	8.3017	8.4612	8.3862	8.7807	8.5928	8.9194	8.8831	8.9597	8.7818	8.9011	8.6434	8.7203	8.8557	8.6396	8.4591	8.3219	6.4007	9.313	8.9339	8.727	9.0886	9.0248
K03437	10.462	9.9931	9.9704	9.8902	10.003	10.37	9.6478	9.8069	9.9102	9.9604	9.8412	9.8642	10.845	11.119	10.581	10.848	10.066	9.8216	8.0923	8.7252	10.233	10.01	10.319	10.026
K03438	11.054	10.906	11.001	10.912	11.089	11.253	10.817	11.007	11.14	11.067	10.965	10.831	11.605	11.714	11.452	11.628	10.991	10.848	8.3036	9.9624	11.09	11.153	11.246	10.873
K03439	10.389	10.111	10.171	9.8554	10.26	10.407	9.9797	10.178	10.207	10.187	10.034	9.9807	10.977	11.047	11.08	11.208	10.649	10.695	8.3335	9.0828	10.507	10.581	10.807	10.263
K03441	3.9721	4.3512	4.088	4.099	4.741	4.6865	3.5807	4.0222	3.5696	4.0971	4.0847	4.7449	3.5887	3.5887	3.5696	3.5887	3.5887	4.9129	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K03442	11.88	11.651	11.622	11.211	11.464	11.648	11.731	11.819	11.933	11.814	11.708	11.596	12.108	12.102	12.068	12.038	11.533	11.302	9.5783	10.165	11.569	11.37	11.781	11.276
K03443	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	3.5696	3.631
