KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K15279	4.3281	3.9928	4.088	3.5696	4.0955	3.5305	4.7613	4.384	4.099	3.5682	4.7288	3.5696	3.5887	3.5887	4.099	3.5887	3.5887	3.688	4.112	4.2767	4.0737	3.9738	3.5696	4.1794
K15280	4.3281	3.9928	4.4565	4.7449	3.567	4.0472	4.4846	4.0222	3.5696	3.5682	4.4529	3.5696	3.5887	3.5887	4.4686	3.5887	3.5887	3.688	6.5973	4.6596	3.5505	3.9738	4.099	4.1794
K15281	3.4744	4.624	3.5612	4.099	3.567	3.5305	4.7613	3.5117	3.5696	4.0971	4.7288	4.099	3.5887	3.5887	4.4686	3.5887	3.5887	4.2529	7.5703	4.6596	3.5505	5.6937	3.5696	4.1794
K15283	5.5639	4.3512	5.3967	4.4686	4.4648	4.0472	5.6291	5.4345	4.7449	5.2814	5.961	4.7449	4.1241	3.5887	3.5696	3.5887	4.1241	3.688	4.112	5.5922	4.0737	6.1817	5.2834	5.3694
K15284	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	4.4846	4.384	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15285	4.3281	4.624	4.088	4.099	4.0955	4.0472	3.5807	4.384	3.5696	4.9591	4.0847	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	4.2529	4.7594	4.2767	3.5505	5.3451	3.5696	4.5558
K15287	4.3281	3.4898	4.4565	3.5696	3.567	4.4116	3.5807	5.3245	4.7449	4.0971	5.3931	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	6.939	3.7068	3.5505	3.2501	4.099	3.631
K15288	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	4.1794
K15289	3.9721	4.624	4.9488	4.4686	4.9573	4.6865	4.7613	4.0222	3.5696	4.0971	4.9452	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	6.4711	3.7068	3.5505	5.0959	4.099	4.1794
K15290	3.4744	3.4898	3.5612	4.099	3.567	4.0472	4.4846	3.5117	3.5696	3.5682	4.4529	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	3.7068	3.5505	3.2501	4.4686	3.631
K15292	5.3785	4.624	4.7325	4.4686	4.0955	3.5305	4.4846	5.4345	4.099	4.0971	5.1209	4.099	3.5887	3.5887	4.099	3.5887	4.1241	3.688	4.112	3.7068	4.0737	5.4782	4.7449	5.0496
K15293	3.4744	4.3512	3.5612	4.099	3.567	4.9027	3.5807	3.5117	3.5696	4.0971	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	4.4686	3.631
K15296	4.6001	3.9928	3.5612	4.099	4.4648	3.5305	4.1137	5.1981	4.7449	3.5682	4.4529	4.4686	4.1241	3.5887	3.5696	3.5887	3.5887	3.688	6.3244	4.6596	4.0737	4.4283	4.099	4.5558
K15297	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	4.1794
K15300	3.4744	3.4898	3.5612	4.099	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.0737	3.2501	3.5696	3.631
K15303	6.6605	6.9805	6.7345	6.183	6.922	6.9112	6.1504	6.1919	6.2279	5.9129	6.1211	6.3113	7.067	7.1025	6.9656	7.011	6.5165	6.3797	6.0455	6.4027	6.9392	6.9427	7.2212	7.1054
K15304	3.4744	4.3512	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15305	4.8158	4.3512	5.2713	4.7449	4.741	4.0472	5.2993	5.0504	4.4686	4.9591	5.1209	4.099	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	5.6274	4.2767	4.0737	4.4283	4.7449	3.631
K15306	3.9721	4.3512	4.4565	3.5696	3.567	3.5305	3.5807	4.384	3.5696	3.5682	4.7288	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	5.1532	3.5505	4.7508	3.5696	3.631
K15308	3.4744	3.4898	3.5612	3.5696	4.0955	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15311	5.1408	6.2407	6.2594	5.6999	5.8456	5.7955	5.4243	5.6187	5.6999	5.776	5.5987	5.6138	3.5887	4.496	4.4686	4.496	3.5887	3.688	4.112	4.9383	4.0737	4.9944	3.5696	5.0496
K15312	5.5639	5.7376	5.6884	5.8492	5.6963	5.9224	5.4243	5.7691	5.8492	5.2814	5.961	5.7779	3.5887	3.5887	4.099	5.1644	3.5887	3.688	4.112	4.9383	4.7165	5.0959	4.099	5.3694
K15313	5.9002	6.5577	5.6021	6.0856	6.3841	5.7239	6.2854	6.3088	6.0324	6.1811	5.961	6.183	3.5887	5.3106	4.7449	3.5887	4.496	3.688	4.112	4.6596	4.7165	3.6643	3.5696	4.1794
K15314	7.6405	8.3472	8.8017	8.3042	8.3677	7.7151	7.8358	7.4739	7.4098	7.291	7.5412	6.9458	5.4354	6.0011	6.0856	5.8037	5.4354	4.6343	6.5973	5.1532	6.5582	6.0983	6.9656	5.8594
K15315	5.3785	6.3812	6.5728	5.7779	6.9814	5.6454	5.153	4.8741	5.5175	3.5682	5.1209	4.099	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	4.2767	4.0737	3.2501	3.5696	3.631
K15316	3.9721	3.4898	4.088	4.099	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	4.0847	3.5696	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15317	3.4744	3.4898	3.5612	4.099	3.567	4.0472	3.5807	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15318	4.6001	5.6656	5.5057	5.4086	6.3078	5.7955	4.4846	4.658	3.5696	4.4666	4.4529	3.5696	4.1241	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	4.1794
K15320	6.5621	7.0462	6.6017	6.183	6.4199	5.9793	5.4243	6.0066	5.4086	5.6118	5.2677	5.7779	4.1241	3.5887	4.9612	5.4354	4.496	4.9129	4.112	4.6596	4.9328	5.1871	5.2834	4.5558
K15321	4.3281	3.9928	4.4565	4.7449	3.567	3.5305	3.5807	4.384	3.5696	3.5682	3.5587	3.5696	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.7594	3.7068	3.5505	3.2501	3.5696	3.631
K15322	3.4744	3.4898	3.5612	3.5696	4.0955	3.5305	3.5807	3.5117	4.099	4.0971	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15323	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	4.1137	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.9383	3.5505	3.2501	4.099	3.631
K15325	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	3.5696	3.631
K15326	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	6.4007	3.7068	4.0737	3.2501	3.5696	3.631
K15327	4.3281	5.5866	5.2713	5.1368	5.4048	3.5305	4.1137	4.658	4.099	5.4066	4.9452	5.1368	4.496	3.5887	3.5696	3.5887	4.496	3.688	4.112	3.7068	4.4409	3.9738	3.5696	4.1794
K15328	3.9721	5.7376	5.1246	4.4686	5.2796	4.6865	5.533	4.658	4.9612	5.5155	5.8345	5.5175	3.5887	3.5887	4.4686	5.8748	3.5887	3.688	4.112	4.9383	4.4409	6.0377	4.4686	5.8594
K15329	6.6369	7.6635	7.3219	7.293	7.2754	6.8507	7.074	7.0938	6.9458	7.383	7.3823	7.4689	5.8037	5.64	6.2706	6.4129	5.8037	4.6343	4.7594	6.5992	7.0323	7.0617	6.5841	6.8024
K15331	7.2355	6.7058	7.011	6.7208	6.9814	6.175	6.4728	6.6902	6.8621	6.3484	6.6538	5.4086	5.8748	5.8748	6.4911	6.2959	6.4488	4.2529	5.4225	4.9383	7.0498	6.2079	7.627	6.468
K15332	3.4744	4.3512	4.088	4.099	4.4648	4.0472	4.7613	4.658	4.4686	4.4666	5.1209	4.099	4.1241	3.5887	4.7449	3.5887	3.5887	4.2529	6.5364	4.6596	3.5505	5.4143	3.5696	3.631
K15333	3.4744	3.4898	4.088	4.099	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	3.5696	3.631
K15334	4.9924	4.8399	4.7325	4.4686	4.0955	4.9027	5.153	4.0222	5.1368	4.4666	4.0847	5.4086	3.5887	3.5887	4.4686	3.5887	3.5887	3.688	4.7594	4.6596	5.1087	4.4283	3.5696	3.631
K15335	5.2678	4.3512	4.9488	4.4686	4.4648	4.0472	5.153	5.3245	4.099	4.9591	4.9452	4.4686	3.5887	3.5887	4.7449	4.7729	3.5887	3.688	6.4711	4.9383	5.2557	5.4782	3.5696	4.8337
K15336	5.9537	6.6347	6.7827	5.6999	6.8802	5.2262	5.2993	5.3245	4.7449	5.4066	5.3931	4.9612	5.64	4.1241	5.8492	5.1644	4.9891	5.9317	4.112	4.6596	5.9498	6.0058	6.0856	5.4934
K15337	5.2678	5.8652	5.2713	5.2834	5.5138	5.2262	5.4243	5.4345	5.5175	5.5155	5.3931	5.9148	4.9891	5.1644	4.9612	3.5887	4.496	3.688	4.112	5.3261	4.9328	5.1871	4.099	4.5558
K15338	3.9721	3.9928	4.4565	4.099	3.567	3.5305	4.7613	4.658	3.5696	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	6.7592	4.2767	3.5505	3.2501	3.5696	4.1794
K15339	3.4744	3.4898	4.088	4.099	4.0955	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	3.5696	3.631
K15340	4.3281	4.624	4.088	4.9612	4.0955	4.4116	4.4846	4.658	4.9612	4.0971	4.9452	4.4686	3.5887	3.5887	4.099	4.1241	3.5887	3.688	6.4711	3.7068	4.0737	3.9738	3.5696	3.631
K15341	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	4.2529	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15342	9.2245	10.088	9.9268	10.503	10.533	10.511	8.5368	9.5702	9.2523	9.9019	9.2697	10.551	10.739	10.759	10.946	10.763	10.412	9.5548	7.9749	10.71	10.729	10.469	10.781	10.197
K15343	3.4744	4.3512	3.5612	3.5696	3.567	5.4618	4.4846	4.0222	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15348	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.0737	3.2501	3.5696	3.631
K15349	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	4.1137	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15352	6.422	7.0774	6.8286	6.5841	6.8802	6.47	6.6835	6.6409	7.004	6.7439	6.8689	6.3113	5.1644	5.3106	5.8492	4.7729	5.4354	3.688	5.1511	6.634	6.2857	5.593	4.4686	5.6012
K15353	3.9721	5.5866	4.9488	6.4911	5.8456	8.0024	5.2993	4.8741	4.7449	5.1347	4.7288	4.7449	7.7195	8.0419	7.4339	7.7285	7.1025	7.3793	6.241	5.6989	7.4977	5.4782	7.0763	7.6616
K15356	5.5639	5.0165	5.1246	4.7449	3.567	3.5305	5.4243	4.658	5.2834	4.4666	5.1209	4.099	3.5887	4.1241	3.5696	3.5887	4.1241	3.688	4.112	5.3261	4.9328	5.4143	4.099	5.0496
K15357	6.004	6.0734	6.2167	6.2706	6.5805	6.0326	5.2993	5.7691	5.4086	6.0837	5.1209	5.1368	6.1609	5.1644	6.4579	5.1644	6.3366	6.3797	4.112	6.5631	6.2857	5.7398	5.4086	5.6966
K15358	8.4078	8.7052	8.8424	8.3855	8.7043	8.5156	7.9904	7.7979	7.8743	7.9092	7.7557	7.7627	7.9456	7.7103	7.8818	8.0805	7.5619	7.5565	4.112	6.8992	7.4868	7.8843	7.4916	7.7592
K15359	3.4744	5.1646	3.5612	4.4686	4.0955	4.4116	3.5807	4.0222	3.5696	4.0971	4.0847	4.099	5.544	4.9891	4.099	4.496	3.5887	4.2529	5.1511	3.7068	4.0737	3.6643	4.4686	3.631
K15360	3.4744	3.9928	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15361	4.6001	3.9928	4.4565	4.9612	4.0955	4.0472	3.5807	4.384	4.099	4.0971	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.0737	4.2224	4.099	3.631
K15362	4.3281	3.9928	5.1246	4.9612	3.567	5.4618	4.7613	5.4345	4.7449	4.7428	5.5987	4.7449	3.5887	3.5887	4.099	4.1241	4.1241	3.688	6.5973	5.3261	4.0737	3.6643	4.4686	3.631
K15363	4.3281	4.3512	3.5612	3.5696	4.0955	4.9027	4.1137	4.0222	4.099	4.4666	4.4529	4.4686	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	6.4711	4.2767	3.5505	3.2501	3.5696	4.1794
K15364	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15366	3.4744	3.4898	3.5612	4.099	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15370	3.4744	3.4898	3.5612	4.4686	3.567	3.5305	3.5807	4.0222	3.5696	4.0971	3.5587	3.5696	4.1241	3.5887	4.099	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15371	11.73	11.739	11.944	11.296	11.898	11.661	11.036	11.176	11.168	11.108	10.989	10.655	10.797	11.018	10.822	10.965	10.743	10.242	7.5053	9.6633	10.576	10.421	10.874	10.219
K15372	9.0927	8.7594	8.6126	8.6659	8.836	9.0313	9.1298	9.1909	9.39	9.5548	9.2227	9.2249	8.0287	7.798	8.348	7.931	8.1654	7.8628	5.6274	10.396	8.2659	8.2835	7.8437	7.9601
K15373	5.4764	5.1646	5.8378	5.2834	5.4048	5.9793	5.153	5.0504	5.1368	5.2814	5.5987	5.5175	6.7207	5.8037	5.6138	6.0011	5.3106	5.1282	5.1511	5.5922	5.6735	4.8803	5.9148	5.2241
K15375	3.4744	3.4898	3.5612	4.4686	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15376	6.8874	7.6717	6.9343	6.2706	5.9721	6.3346	6.506	6.5047	5.9756	6.6111	6.5984	6.6685	3.5887	5.1644	4.9612	3.5887	4.7729	4.9129	6.8972	4.9383	5.4905	5.4143	5.6138	4.8337
K15377	3.9721	3.9928	4.088	3.5696	4.0955	3.5305	4.4846	3.5117	3.5696	4.4666	4.4529	4.099	4.1241	3.5887	4.099	3.5887	5.1644	3.688	4.7594	4.2767	4.4409	5.9726	4.099	4.5558
K15378	4.3281	5.0165	4.088	5.1368	4.741	5.5587	4.4846	4.658	4.4686	4.0971	4.7288	4.7449	4.1241	3.5887	3.5696	3.5887	4.1241	3.688	6.5364	4.2767	3.5505	3.6643	3.5696	4.1794
K15381	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	4.0971	3.5587	3.5696	3.5887	3.5887	4.099	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15382	5.2678	3.4898	4.9488	3.5696	3.567	3.5305	3.5807	4.658	4.9612	3.5682	4.7288	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.7594	3.7068	5.2557	3.9738	4.4686	4.5558
K15383	7.8408	8.1984	7.4798	7.8201	7.9075	8.7961	6.7854	7.1245	7.2649	7.2629	6.6265	7.279	8.3371	8.6204	7.804	8.244	8.0085	7.9579	6.4711	6.6997	8.0686	7.4613	7.9113	7.8221
K15384	4.6001	3.4898	4.4565	4.4686	4.4648	4.6865	4.1137	4.0222	3.5696	4.4666	4.4529	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	4.2767	3.5505	3.6643	3.5696	3.631
K15386	3.4744	4.3512	4.088	4.099	4.4648	3.5305	4.1137	4.384	3.5696	4.0971	3.5587	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15387	3.9721	4.624	4.7325	4.7449	5.4048	4.9027	3.5807	3.5117	3.5696	4.0971	4.4529	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15388	3.4744	3.4898	3.5612	4.4686	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15389	3.4744	3.9928	3.5612	4.099	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15390	3.9721	3.4898	3.5612	3.5696	4.0955	3.5305	3.5807	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15391	3.9721	3.4898	3.5612	3.5696	3.567	4.4116	3.5807	3.5117	3.5696	4.0971	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15393	3.9721	3.4898	3.5612	3.5696	4.0955	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15394	3.4744	4.624	5.5057	5.5175	5.6101	5.7239	4.1137	3.5117	4.4686	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.2767	3.5505	3.6643	3.5696	3.631
K15395	7.07	7.8159	7.6899	7.1271	7.499	6.8507	7.1907	7.1972	6.9458	7.1576	6.989	7.0408	5.4354	5.64	6.183	5.3106	5.64	4.6343	5.6274	5.3261	6.5582	6.0058	6.1356	6.504
K15396	8.9777	8.9994	8.8637	8.8339	9.0077	8.9981	9.0624	9.1128	8.9276	8.9077	8.8323	8.7859	9.4248	9.2263	9.2226	9.4572	9.3292	9.0035	6.7592	8.1355	8.8004	8.4874	8.9705	8.1836
K15397	3.4744	5.6656	4.7325	4.9612	4.741	5.0788	4.4846	4.658	5.1368	4.7428	5.1209	4.4686	3.5887	3.5887	4.099	3.5887	4.1241	3.688	6.5364	4.9383	4.0737	5.902	4.4686	4.8337
K15398	3.9721	3.9928	4.4565	4.4686	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	3.5696	3.631
K15400	3.4744	4.3512	3.5612	4.4686	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15401	3.4744	3.9928	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15402	3.4744	4.8399	4.4565	3.5696	3.567	3.5305	4.1137	3.5117	3.5696	4.0971	4.0847	4.099	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.112	5.1532	4.0737	4.8803	3.5696	4.1794
K15403	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	4.1137	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15404	3.9721	3.9928	3.5612	4.099	4.0955	3.5305	4.1137	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15407	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.2767	3.5505	3.2501	3.5696	3.631
K15408	9.2383	9.5616	9.1638	9.6468	9.4297	9.7971	6.961	8.1824	8.4783	9.5674	7.8738	9.9794	9.6375	9.3137	10.818	9.908	9.9709	10.13	6.9791	12.56	9.8374	10.155	9.5573	9.3841
K15409	3.4744	3.4898	3.5612	4.099	3.567	4.6865	4.1137	4.384	4.099	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	4.496	3.688	4.112	4.2767	4.0737	3.2501	3.5696	4.1794
K15414	3.4744	3.4898	4.088	3.5696	3.567	3.5305	4.4846	4.0222	3.5696	3.5682	4.4529	3.5696	3.5887	3.5887	4.099	3.5887	4.1241	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15415	3.4744	3.4898	3.5612	4.099	4.0955	4.4116	3.5807	4.0222	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15416	3.4744	3.4898	3.5612	4.4686	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15417	3.4744	3.4898	4.088	4.7449	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15418	3.4744	3.4898	3.5612	4.7449	4.0955	4.4116	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.6596	4.7165	4.2224	3.5696	3.631
K15419	3.4744	3.4898	4.088	3.5696	3.567	3.5305	4.1137	4.0222	3.5696	3.5682	4.0847	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	4.1794
K15421	3.4744	4.3512	3.5612	3.5696	3.567	3.5305	3.5807	4.0222	3.5696	4.0971	4.4529	3.5696	4.1241	3.5887	3.5696	3.5887	5.4354	3.688	4.112	3.7068	4.0737	3.2501	3.5696	3.631
K15422	4.9924	4.624	4.9488	4.4686	5.5138	5.0788	4.7613	5.3245	4.099	4.9591	5.1209	4.099	3.5887	3.5887	4.099	4.1241	3.5887	3.688	4.112	3.7068	4.0737	5.0959	4.099	4.8337
K15423	3.4744	4.8399	4.9488	4.9612	4.4648	4.0472	4.9775	4.658	4.4686	5.4066	5.1209	4.9612	5.9403	5.8037	6.0324	6.0011	4.9891	3.688	4.7594	5.4697	5.7517	5.4782	4.4686	5.0496
K15424	5.3785	3.9928	4.9488	4.7449	3.567	4.4116	4.9775	4.384	4.4686	4.0971	5.5987	3.5696	3.5887	3.5887	4.099	3.5887	3.5887	3.688	5.928	3.7068	4.4409	5.5376	4.099	3.631
K15425	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15427	3.4744	3.4898	4.088	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	4.0971	4.0847	3.5696	3.5887	4.1241	4.099	3.5887	3.5887	3.688	4.112	3.7068	4.4409	3.2501	3.5696	3.631
K15428	4.3281	4.3512	4.7325	5.5175	4.4648	4.6865	4.1137	3.5117	3.5696	4.4666	4.0847	4.7449	3.5887	3.5887	4.4686	3.5887	3.5887	3.688	4.112	4.2767	3.5505	3.6643	3.5696	4.8337
K15429	6.9056	7.6384	7.2096	7.7457	7.2025	7.2379	7.4493	7.8697	8.1834	8.6491	7.6774	8.7084	8.5112	7.974	9.0912	8.0287	8.7344	8.7792	7.8577	12.101	8.8675	8.7151	8.1379	8.2255
K15430	3.9721	4.3512	4.088	4.4686	4.4648	3.5305	4.9775	5.1981	3.5696	3.5682	4.4529	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	7.0175	4.9383	3.5505	5.0959	3.5696	3.631
K15431	3.9721	3.4898	4.088	3.5696	4.9573	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K15433	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.9738	3.5696	3.631
K15434	3.4744	3.9928	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	6.5973	3.7068	3.5505	3.6643	3.5696	3.631
K15436	4.6001	5.0165	4.7325	4.9612	4.4648	3.5305	5.4243	4.0222	4.9612	4.0971	5.1209	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	5.1532	4.4409	5.0959	4.4686	4.8337
